,ts_code,trade_time,open,close,high,low,vol,amount,trade_date,pre_close
0,000001.SZ,2019-12-31 15:00:00,16.38,16.45,16.46,16.37,10211062.0,167634148.77,20191231,16.38
1,000001.SZ,2019-12-31 14:30:00,16.36,16.38,16.39,16.34,7961534.0,130270821.3,20191231,16.36
2,000001.SZ,2019-12-31 14:00:00,16.36,16.36,16.38,16.33,5621436.0,91897345.65,20191231,16.35
3,000001.SZ,2019-12-31 13:30:00,16.36,16.35,16.37,16.32,3860626.0,63084733.29,20191231,16.36
4,000001.SZ,2019-12-31 11:30:00,16.35,16.36,16.38,16.33,4580941.0,74893745.52,20191231,16.35
5,000001.SZ,2019-12-31 11:00:00,16.37,16.35,16.38,16.34,6215253.0,101698221.72,20191231,16.38
6,000001.SZ,2019-12-31 10:30:00,16.42,16.38,16.43,16.31,13742324.0,224817518.6,20191231,16.42
7,000001.SZ,2019-12-31 10:00:00,16.55,16.42,16.55,16.37,17686349.0,291050749.07,20191231,16.57
8,000001.SZ,2019-12-31 09:30:00,16.57,16.57,16.57,16.57,564700.0,9357065.0,20191231,16.57
9,000001.SZ,2019-12-30 15:00:00,16.51,16.57,16.57,16.48,10085626.0,166667177.46,20191230,16.5
10,000001.SZ,2019-12-30 14:30:00,16.54,16.5,16.55,16.43,9268007.0,152745303.54,20191230,16.55
11,000001.SZ,2019-12-30 14:00:00,16.5,16.55,16.57,16.46,9094463.0,150130619.85,20191230,16.5
12,000001.SZ,2019-12-30 13:30:00,16.59,16.5,16.61,16.45,8977311.0,148467533.34,20191230,16.59
13,000001.SZ,2019-12-30 11:30:00,16.36,16.59,16.63,16.35,8985039.0,148185206.82,20191230,16.36
14,000001.SZ,2019-12-30 11:00:00,16.36,16.36,16.48,16.33,7317778.0,120053206.33,20191230,16.36
15,000001.SZ,2019-12-30 10:30:00,16.41,16.36,16.49,16.34,10184154.0,167157298.78,20191230,16.4
16,000001.SZ,2019-12-30 10:00:00,16.4,16.4,16.43,16.11,31897253.0,518689407.47,20191230,16.46
17,000001.SZ,2019-12-30 09:30:00,16.46,16.46,16.46,16.46,1887400.0,31057033.0,20191230,16.63
18,000001.SZ,2019-12-27 15:00:00,16.69,16.63,16.74,16.61,9235400.0,153861917.38,20191227,16.68
19,000001.SZ,2019-12-27 14:30:00,16.73,16.68,16.74,16.67,5281543.0,88220765.9,20191227,16.73
20,000001.SZ,2019-12-27 14:00:00,16.82,16.73,16.82,16.7,8767671.0,146874039.18,20191227,16.81
21,000001.SZ,2019-12-27 13:30:00,16.92,16.81,16.92,16.79,10798800.0,181935387.07,20191227,16.92
22,000001.SZ,2019-12-27 11:30:00,16.75,16.92,16.93,16.69,21697379.0,365219486.08,20191227,16.75
23,000001.SZ,2019-12-27 11:00:00,16.59,16.75,16.81,16.56,21724314.0,362957412.73,20191227,16.59
24,000001.SZ,2019-12-27 10:30:00,16.49,16.59,16.66,16.46,13936884.0,231034764.14,20191227,16.48
25,000001.SZ,2019-12-27 10:00:00,16.52,16.48,16.54,16.44,11691181.0,192784727.82,20191227,16.53
26,000001.SZ,2019-12-27 09:30:00,16.53,16.53,16.53,16.53,1124300.0,18584679.0,20191227,16.47
27,000001.SZ,2019-12-26 15:00:00,16.35,16.47,16.47,16.35,9145418.0,150176921.03,20191226,16.36
28,000001.SZ,2019-12-26 14:30:00,16.38,16.36,16.4,16.32,4786185.0,78313514.27,20191226,16.38
29,000001.SZ,2019-12-26 14:00:00,16.43,16.38,16.44,16.36,2767257.0,45349315.7,20191226,16.43
30,000001.SZ,2019-12-26 13:30:00,16.4,16.43,16.44,16.38,4126391.0,67711086.64,20191226,16.4
31,000001.SZ,2019-12-26 11:30:00,16.38,16.4,16.44,16.36,2058133.0,33762538.37,20191226,16.36
32,000001.SZ,2019-12-26 11:00:00,16.44,16.36,16.46,16.36,2507784.0,41164461.99,20191226,16.43
33,000001.SZ,2019-12-26 10:30:00,16.43,16.43,16.48,16.4,4069453.0,66894124.66,20191226,16.44
34,000001.SZ,2019-12-26 10:00:00,16.35,16.44,16.48,16.35,7667865.0,125785925.09,20191226,16.34
35,000001.SZ,2019-12-26 09:30:00,16.34,16.34,16.34,16.34,74900.0,1223870.0,20191226,16.3
36,000001.SZ,2019-12-25 15:00:00,16.3,16.3,16.38,16.28,3917189.0,63900682.36,20191225,16.3
37,000001.SZ,2019-12-25 14:30:00,16.3,16.3,16.31,16.24,5277041.0,85847111.71,20191225,16.3
38,000001.SZ,2019-12-25 14:00:00,16.32,16.3,16.35,16.28,4686120.0,76400363.6,20191225,16.31
39,000001.SZ,2019-12-25 13:30:00,16.39,16.31,16.41,16.28,7402926.0,120854334.41,20191225,16.39
40,000001.SZ,2019-12-25 11:30:00,16.47,16.39,16.47,16.35,5105372.0,83801545.36,20191225,16.47
41,000001.SZ,2019-12-25 11:00:00,16.47,16.47,16.5,16.46,3493246.0,57554723.85,20191225,16.47
42,000001.SZ,2019-12-25 10:30:00,16.49,16.47,16.56,16.46,5405501.0,89241372.13,20191225,16.49
43,000001.SZ,2019-12-25 10:00:00,16.45,16.49,16.49,16.4,5957943.0,98010153.25,20191225,16.45
44,000001.SZ,2019-12-25 09:30:00,16.45,16.45,16.45,16.45,246460.0,4054310.0,20191225,16.4
45,000001.SZ,2019-12-24 15:00:00,16.43,16.4,16.48,16.39,5463343.0,89771400.72,20191224,16.43
46,000001.SZ,2019-12-24 14:30:00,16.41,16.43,16.48,16.38,4985159.0,81916654.78,20191224,16.41
47,000001.SZ,2019-12-24 14:00:00,16.42,16.41,16.5,16.4,6962103.0,114548805.3,20191224,16.42
48,000001.SZ,2019-12-24 13:30:00,16.38,16.42,16.45,16.37,5376939.0,88246814.05,20191224,16.38
49,000001.SZ,2019-12-24 11:30:00,16.37,16.38,16.41,16.33,4243090.0,69526191.66,20191224,16.36
50,000001.SZ,2019-12-24 11:00:00,16.4,16.36,16.41,16.33,3336019.0,54594242.16,20191224,16.39
51,000001.SZ,2019-12-24 10:30:00,16.28,16.39,16.4,16.26,5433702.0,88849077.56,20191224,16.28
52,000001.SZ,2019-12-24 10:00:00,16.25,16.28,16.39,16.24,9932687.0,161980270.96,20191224,16.23
53,000001.SZ,2019-12-24 09:30:00,16.23,16.23,16.23,16.23,179800.0,2918161.0,20191224,16.24
54,000001.SZ,2019-12-23 15:00:00,16.22,16.24,16.31,16.2,10699371.0,173796601.17,20191223,16.22
55,000001.SZ,2019-12-23 14:30:00,16.31,16.22,16.34,16.18,12057119.0,195904573.52,20191223,16.31
56,000001.SZ,2019-12-23 14:00:00,16.38,16.31,16.38,16.29,6478405.0,105782303.76,20191223,16.38
57,000001.SZ,2019-12-23 13:30:00,16.5,16.38,16.5,16.34,8141853.0,133547829.23,20191223,16.5
58,000001.SZ,2019-12-23 11:30:00,16.5,16.5,16.52,16.43,4915032.0,80935762.19,20191223,16.5
59,000001.SZ,2019-12-23 11:00:00,16.46,16.5,16.58,16.44,5786984.0,95467915.64,20191223,16.46
60,000001.SZ,2019-12-23 10:30:00,16.5,16.46,16.52,16.42,10119189.0,166549050.07,20191223,16.49
61,000001.SZ,2019-12-23 10:00:00,16.65,16.49,16.66,16.45,12666019.0,209456881.26,20191223,16.68
62,000001.SZ,2019-12-23 09:30:00,16.68,16.68,16.68,16.68,715300.0,11931164.0,20191223,16.59
63,000001.SZ,2019-12-20 15:00:00,16.57,16.59,16.6,16.54,17241358.0,285945505.41,20191220,16.56
64,000001.SZ,2019-12-20 14:30:00,16.57,16.56,16.59,16.52,5374440.0,88953615.49,20191220,16.57
65,000001.SZ,2019-12-20 14:00:00,16.57,16.57,16.6,16.51,4802913.0,79571831.05,20191220,16.56
66,000001.SZ,2019-12-20 13:30:00,16.63,16.56,16.65,16.56,5020822.0,83371757.29,20191220,16.63
67,000001.SZ,2019-12-20 11:30:00,16.56,16.63,16.68,16.53,10495738.0,174429161.08,20191220,16.57
68,000001.SZ,2019-12-20 11:00:00,16.48,16.57,16.58,16.47,3908021.0,64615910.56,20191220,16.48
69,000001.SZ,2019-12-20 10:30:00,16.53,16.48,16.56,16.44,7005326.0,115521338.86,20191220,16.54
70,000001.SZ,2019-12-20 10:00:00,16.56,16.54,16.66,16.45,10369620.0,171660779.04,20191220,16.55
71,000001.SZ,2019-12-20 09:30:00,16.55,16.55,16.55,16.55,229600.0,3799881.0,20191220,16.55
72,000001.SZ,2019-12-19 15:00:00,16.55,16.55,16.55,16.5,6509085.0,107599334.89,20191219,16.54
73,000001.SZ,2019-12-19 14:30:00,16.45,16.54,16.57,16.44,5658877.0,93474876.21,20191219,16.44
74,000001.SZ,2019-12-19 14:00:00,16.48,16.44,16.5,16.44,4613830.0,75954894.78,20191219,16.49
75,000001.SZ,2019-12-19 13:30:00,16.47,16.49,16.52,16.44,5788332.0,95377830.28,20191219,16.47
76,000001.SZ,2019-12-19 11:30:00,16.57,16.47,16.58,16.46,5848704.0,96527843.66,20191219,16.57
